tid,id,number,title,length,artist,album,year,language
116092,215214-A048,6,006-Immer bis ich reier',3m 48sec,Nordwand,Das Pinke Album (unknown),null,Ger.
116093,146249-A066,3,003I'mReady,2m 41sec,John Lee Hooker,The Collection (2006),null,Eng.
116094,160109-A070,6,006-Try_(acoustic),unknown,Neil Young,"2008-02-15: Le Grand Rex, Paris, France (unknown)",null,Eng.
116095,126583-A062,23,023-El Vaquero Chido (The Cool Cowboy),2m 9sec,Byron Brizuela & Enrique Carbajal,Mexico (unknown),null,Eng.
116096,131573-A04,1,001,3m 52sec,, (20100),null,Jap.
116097,216829-A040,3,003-10cm,3m 45sec,Anemone,10cm (2013),null,unknown
116098,97976-A02,3,003-Anne,2m 42sec,Clouseau,"De Pre HistoFrie 1989, Vol. III (2000)",null,unknown
116099,146325-A061,12,"012-Precious Lord, Part One",3m24sec,Aretha Franklin,Suddeutsche Zeitung | Diskothek: 1956: Ein Jahr und seine 20 Songs (2005),null,Eng.
116100,223393-A060,14,014-Berlin (bei Tag und Nacht),3m 36sec,CHRIS PRINZ,"Club Sounds, Volume 64 (unknown)",null,Eng.
116101,212480-A025,4,004-Special Feature Including A Hybrid Documentary,unknown,Hbrid,Morning Sci-Fi (2003),null,Eng.
116102,76271-A043,1,001-Who Will Be Next?,2m 34sec,Howlin Wolf,Who Will Be Next? (1992),null,Eng.
116103,153197-A06,13,013-Still in love with you,4m 36sec,Chris Willis,With ThisR ing Forever I Do (2002),null,Eng.
116104,98073-A09,11,011-It's a Heartache,3m 30sec,Bonnie Tyler,"Seventies Top 100, Vol. II (2008)",null,Eng.
116105,76372-A027,20,020-Comme ca tu veux un gun ? Tu trouves ca l'fun !,3m 21sec,KC L.M.N.O.P.,,null,Fre.
116106,162227-A068,7,007-Introduction et Variations sur une Ronde Populaire,8m 32sec,Gabriel Pierne,Encore! (1998),null,Eng.
116107,144780-A048,10,010-Von des Verraters Untergang,unknown,AAsenblut,Aufbruch (unknown),null,Ger.
116108,112788-A09,8,008-'Pines of Rome' - The Pines of the mVilla Borghese,2m 42sec,Ottorino Respighi,Debussy - La Mer & Respighi - Pines and Fountains of Rome - RCA LS 1995,1995,Eng.
